,conversation_id,conversation_start_time,turn_number,alexaResponseQuality,is_coherent,is_engaging
0,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,0,passable,False,False
1,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,1,passable,False,False
2,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,2,passable,True,True
3,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,3,notGood,False,False
4,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,4,passable,True,True
5,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,5,passable,False,False
6,0bc37e69fedc58ce8047d307b876f277a4a5abe06817d0efbcdad31a778d042d,2019-11-24 23:07:43,6,passable,False,False
7,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,0,passable,False,True
8,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,1,poor,False,False
9,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,2,poor,False,False
10,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,3,poor,False,False
11,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,4,poor,False,False
12,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,5,poor,False,False
13,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,6,poor,False,False
14,38dc440e94342ea17dac60cd8beeabf9c4ef0ddd86144ce80edf849fd2b54156,2019-11-24 17:47:41,7,poor,False,False
15,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,0,passable,True,True
16,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,1,passable,True,True
17,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,2,passable,True,True
18,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,3,passable,True,True
19,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,4,passable,True,True
20,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,5,passable,True,True
21,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,6,passable,True,True
22,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,7,passable,True,True
23,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,8,passable,True,True
24,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,9,passable,True,True
25,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,10,passable,True,True
26,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,11,passable,True,True
27,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,12,passable,True,True
28,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,13,passable,True,True
29,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,14,passable,True,True
30,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,15,passable,True,True
31,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,16,passable,True,True
32,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,17,passable,True,True
33,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,18,passable,True,True
34,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,19,passable,True,True
35,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,20,passable,True,True
36,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,21,passable,True,True
37,682925425cc394138da795dec6d3cc28a22ee65036065ac262cd2d3e50b25ea4,2019-11-18 21:00:25,22,passable,True,True
